Season,M/W,Match,Y/M/D,Pool,City,Country,Team,VS_Team,SET_Won,SET_Lost,Point1,Point2,Point3,Point4,Point5,VS_Point1,VS_Point2,VS_Point3,VS_Point4,VS_Point5,SET,Service points won,Receiver points won,SCORING_Total ABS,SCORING_Attack Points,SCORING_Block Points,SCORING_Serve Points,SCORING_Errors,ATTACK_Point,ATTACK_Errors,ATTACK_Attempts,ATTACK_Total,BLOCK_Point,BLOCK_Errors,BLOCK_Touches,BLOCK_Total,SERVE_Point,SERVE_Errors,SERVE_Attempts,SERVE_Total,RECEPTION_Successful,RECEPTION_Errors,RECEPTION_Attempts,RECEPTION_Total,DIG_Digs,DIG_Errors,DIG_Total,SET_Point,SET_Errors,SET_Attempts,SET_Total
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,ALL,-,-,51,43,7,1,-,43,12,54,109,7,22,19,48,1,2,64,67,13,4,49,66,36,14,55,16,0,89,105
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,1,-,-,13,10,3,0,-,10,6,17,33,3,6,3,12,0,0,20,20,6,1,15,22,8,2,12,5,0,28,33
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,2,-,-,18,15,3,0,-,15,3,14,32,3,6,7,16,0,1,22,23,4,2,16,22,8,5,15,5,0,25,30
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Tunisia,Chile,0,3,19,23,23,-,-,25,25,25,-,-,3,-,-,20,18,1,1,-,18,3,23,44,1,10,9,20,1,1,22,24,3,1,18,22,20,7,28,6,0,36,42
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,ALL,-,-,67,57,6,4,-,57,11,40,108,6,13,23,42,4,7,62,73,18,1,45,64,43,10,59,18,3,90,111
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,1,-,-,23,18,4,1,-,18,5,8,31,4,4,10,18,1,2,21,24,7,0,12,19,12,2,16,5,2,25,32
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,2,-,-,21,19,0,2,-,19,4,15,38,0,4,5,9,2,3,20,25,5,0,17,22,14,3,17,9,1,29,39
2023,Men,1,2023/7/28,Quarter_Finals,Doha,Qatar,Chile,Tunisia,3,0,25,25,25,-,-,19,23,23,-,-,3,-,-,23,20,2,1,-,20,2,17,39,2,5,8,15,1,2,21,24,6,1,16,23,17,5,26,4,0,36,40
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,ALL,32/96 (33%),65/85 (76%),75,59,10,6,-,59,13,33,105,10,15,21,46,6,21,70,97,20,2,50,72,32,9,45,26,1,80,107
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,1,8/24 (33%),17/20 (85%),23,17,4,2,-,17,4,5,26,4,3,7,14,2,4,18,24,9,0,9,18,8,3,13,5,1,23,29
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,2,8/25 (32%),17/22 (77%),18,14,4,0,-,14,3,8,25,4,3,8,15,0,5,20,25,6,0,11,17,5,5,12,9,0,15,24
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,3,5/23 (22%),17/23 (74%),15,13,0,2,-,13,1,10,24,0,6,4,10,2,7,14,23,4,2,15,21,6,1,7,6,0,19,25
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,Ukraine,China,3,1,25,25,23,25,-,19,22,25,19,-,4,11/24 (46%),14/20 (70%),19,15,2,2,-,15,5,10,30,2,3,2,7,2,5,18,25,1,0,15,16,13,0,13,6,0,23,29
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,China,Ukraine,1,3,19,22,25,19,-,25,25,23,25,-,ALL,20/85 (24%),64/96 (67%),55,48,5,2,-,48,17,34,99,5,20,13,38,2,14,70,86,23,6,47,76,23,9,40,22,1,74,97
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,China,Ukraine,1,3,19,22,25,19,-,25,25,23,25,-,1,3/20 (15%),16/24 (67%),12,10,2,0,-,10,4,11,25,2,8,3,13,0,2,18,20,5,2,13,20,5,2,7,3,0,21,24
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,China,Ukraine,1,3,19,22,25,19,-,25,25,23,25,-,2,5/22 (23%),17/25 (68%),16,14,2,0,-,14,6,9,29,2,4,2,8,0,5,17,22,8,0,12,20,5,2,9,6,0,21,27
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,China,Ukraine,1,3,19,22,25,19,-,25,25,23,25,-,3,6/23 (26%),18/23 (78%),18,15,1,2,-,15,3,6,24,1,4,5,10,2,4,19,25,4,2,10,16,8,2,12,7,1,16,24
2023,Men,2,2023/7/28,Quarter_Finals,Doha,Qatar,China,Ukraine,1,3,19,22,25,19,-,25,25,23,25,-,4,6/20 (30%),13/24 (54%),9,9,0,0,-,9,4,8,21,0,4,3,7,0,3,16,19,6,2,12,20,5,3,12,6,0,16,22
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Qatar,Thailand,3,0,26,25,26,-,-,24,23,24,-,-,ALL,26/71 (37%),46/66 (70%),56,45,7,4,-,45,10,43,98,7,23,14,44,4,12,59,75,13,3,45,61,35,9,49,25,2,72,99
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Qatar,Thailand,3,0,26,25,26,-,-,24,23,24,-,-,1,7/25 (28%),19/25 (76%),18,14,3,1,-,14,3,12,29,3,5,4,12,1,5,19,25,5,1,14,20,10,4,16,7,1,22,30
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Qatar,Thailand,3,0,26,25,26,-,-,24,23,24,-,-,2,7/20 (35%),13/17 (76%),21,18,3,0,-,18,2,15,35,3,10,4,17,0,1,24,25,5,1,15,21,15,4,21,7,0,27,34
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Qatar,Thailand,3,0,26,25,26,-,-,24,23,24,-,-,3,12/26 (46%),14/24 (58%),17,13,1,3,-,13,5,16,34,1,8,6,15,3,6,16,25,3,1,16,20,10,1,12,11,1,23,35
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Thailand,Qatar,0,3,24,23,24,-,-,26,25,26,-,-,ALL,20/66 (30%),45/71 (63%),50,44,3,3,-,44,15,34,93,3,15,16,34,3,12,58,73,19,4,40,63,28,12,51,9,1,80,90
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Thailand,Qatar,0,3,24,23,24,-,-,26,25,26,-,-,1,6/25 (24%),18/25 (72%),17,14,2,1,-,14,6,12,32,2,3,4,9,1,5,19,25,4,1,15,20,10,3,15,2,0,28,30
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Thailand,Qatar,0,3,24,23,24,-,-,26,25,26,-,-,2,4/17 (24%),13/20 (65%),20,19,0,1,-,19,5,12,36,0,9,3,12,1,2,20,23,8,0,16,24,10,5,22,3,0,31,34
2023,Men,3,2023/7/28,Quarter_Finals,Doha,Qatar,Thailand,Qatar,0,3,24,23,24,-,-,26,25,26,-,-,3,10/24 (42%),14/26 (54%),13,11,1,1,-,11,4,10,25,1,3,9,13,1,5,19,25,7,3,9,19,8,4,14,4,1,21,26
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Türkiye,Dominican Republic,3,1,25,25,24,25,-,20,17,26,19,-,ALL,38/88 (43%),51/74 (69%),78,63,8,7,-,63,14,47,124,8,19,19,46,7,18,73,98,17,1,56,74,46,11,68,24,1,97,122
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Türkiye,Dominican Republic,3,1,25,25,24,25,-,20,17,26,19,-,1,8/18 (44%),11/14 (79%),18,16,2,0,-,16,1,12,29,2,8,4,14,0,6,18,24,6,0,12,18,9,4,17,3,0,26,29
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Türkiye,Dominican Republic,3,1,25,25,24,25,-,20,17,26,19,-,2,12/24 (50%),12/17 (71%),19,14,3,2,-,14,2,18,34,3,3,8,14,2,2,21,25,4,0,10,14,17,4,24,6,0,27,33
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Türkiye,Dominican Republic,3,1,25,25,24,25,-,20,17,26,19,-,3,7/22 (32%),14/23 (61%),19,17,1,1,-,17,7,6,30,1,6,3,10,1,8,15,24,2,0,22,24,8,2,12,7,1,25,33
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Türkiye,Dominican Republic,3,1,25,25,24,25,-,20,17,26,19,-,4,11/24 (46%),14/20 (70%),22,16,2,4,-,16,4,11,31,2,2,4,8,4,2,19,25,5,1,12,18,12,1,15,8,0,19,27
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Dominican Republic,Türkiye,1,3,20,17,26,19,-,25,25,24,25,-,ALL,23/74 (31%),50/88 (57%),56,48,7,1,-,48,19,49,116,7,18,21,46,1,9,73,83,12,7,61,80,45,18,69,3,1,110,114
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Dominican Republic,Türkiye,1,3,20,17,26,19,-,25,25,24,25,-,1,3/14 (21%),10/18 (56%),13,13,0,0,-,13,5,12,30,0,1,6,7,0,3,18,21,4,0,14,18,11,5,17,1,1,26,28
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Dominican Republic,Türkiye,1,3,20,17,26,19,-,25,25,24,25,-,2,5/17 (29%),12/24 (50%),13,13,0,0,-,13,6,18,37,0,6,9,15,0,3,14,17,2,2,19,23,17,3,22,1,0,34,35
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Dominican Republic,Türkiye,1,3,20,17,26,19,-,25,25,24,25,-,3,9/23 (39%),15/22 (68%),15,10,5,0,-,10,4,7,21,5,7,4,16,0,2,24,26,2,1,13,16,7,5,13,0,0,22,22
2023,Men,4,2023/7/28,Quarter_Finals,Doha,Qatar,Dominican Republic,Türkiye,1,3,20,17,26,19,-,25,25,24,25,-,4,6/20 (30%),13/24 (54%),15,12,2,1,-,12,4,12,28,2,4,2,8,1,1,17,19,4,4,15,23,10,5,17,1,0,28,29
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,ALL,35/99 (35%),64/100 (64%),64,41,18,5,-,41,16,41,98,18,24,21,63,5,12,84,101,9,6,64,79,29,15,50,23,4,74,101
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,1,7/19 (37%),11/23 (48%),16,10,5,1,-,10,4,5,19,5,3,6,14,1,1,17,19,1,4,15,20,5,4,11,2,2,16,20
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,2,7/24 (29%),18/24 (75%),15,7,7,1,-,7,1,10,18,7,9,1,17,1,3,20,24,3,1,13,17,3,2,6,4,0,13,17
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,3,11/23 (48%),12/15 (80%),13,10,2,1,-,10,3,8,21,2,3,7,12,1,3,21,25,3,0,9,12,13,2,17,7,2,15,24
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,4,4/19 (21%),14/24 (58%),9,7,1,1,-,7,5,8,20,1,4,3,8,1,4,14,19,0,1,18,19,1,6,8,3,0,16,19
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Türkiye,Ukraine,3,2,18,25,25,19,15,25,23,17,25,13,5,6/14 (43%),9/14 (64%),11,7,3,1,-,7,3,10,20,3,5,4,12,1,1,12,14,2,0,9,11,7,1,8,7,0,14,21
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,ALL,36/100 (36%),64/99 (65%),78,62,10,6,-,62,28,38,128,10,18,22,50,6,23,75,104,24,5,60,89,39,8,52,32,1,89,122
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,1,12/23 (52%),12/19 (63%),20,13,3,4,-,13,5,9,27,3,4,4,11,4,2,18,24,3,1,14,18,7,2,10,9,0,16,25
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,2,6/24 (25%),17/24 (71%),19,17,1,1,-,17,8,5,30,1,5,4,10,1,7,16,24,5,1,15,21,10,1,13,6,0,23,29
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,3,3/15 (20%),12/23 (52%),10,9,1,0,-,9,6,13,28,1,1,3,5,0,5,12,17,9,1,12,22,7,5,13,8,1,16,25
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,4,10/24 (42%),15/19 (79%),19,15,3,1,-,15,5,4,24,3,6,4,13,1,6,18,25,4,1,10,15,8,0,8,7,0,16,23
2023,Men,5,2023/7/29,Semifinals,Doha,Qatar,Ukraine,Türkiye,2,3,25,23,17,25,13,18,25,25,19,15,5,5/14 (36%),8/14 (57%),10,8,2,0,-,8,4,7,19,2,2,7,11,0,3,11,14,3,1,9,13,7,0,8,2,0,18,20
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Qatar,Chile,3,0,25,25,27,-,-,21,22,25,-,-,ALL,26/76 (34%),50/68 (74%),52,38,12,2,-,38,10,35,83,12,31,16,59,2,11,63,76,8,3,42,53,29,8,41,19,0,63,82
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Qatar,Chile,3,0,25,25,27,-,-,21,22,25,-,-,1,9/25 (36%),16/21 (76%),17,12,3,2,-,12,1,18,31,3,12,4,19,2,4,19,25,3,0,13,16,12,2,16,9,0,21,30
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Qatar,Chile,3,0,25,25,27,-,-,21,22,25,-,-,2,8/24 (33%),16/22 (73%),17,14,3,0,-,14,6,9,29,3,11,6,20,0,1,23,24,3,1,14,18,10,2,13,3,0,26,29
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Qatar,Chile,3,0,25,25,27,-,-,21,22,25,-,-,3,9/27 (33%),18/25 (72%),18,12,6,0,-,12,3,8,23,6,8,6,20,0,6,21,27,2,2,15,19,7,4,12,7,0,16,23
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Chile,Qatar,0,3,21,22,25,-,-,25,25,27,-,-,ALL,18/68 (26%),50/76 (66%),51,43,5,3,-,43,19,30,92,5,11,19,35,3,16,50,69,21,2,42,65,27,16,49,14,1,75,90
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Chile,Qatar,0,3,21,22,25,-,-,25,25,27,-,-,1,5/21 (24%),16/25 (64%),17,16,1,0,-,16,5,10,31,1,3,9,13,0,5,16,21,4,2,15,21,12,6,22,3,0,27,30
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Chile,Qatar,0,3,21,22,25,-,-,25,25,27,-,-,2,6/22 (27%),16/24 (67%),16,13,2,1,-,13,6,11,30,2,4,7,13,1,5,17,23,9,0,14,23,6,4,12,6,0,23,29
2023,Men,6,2023/7/29,Semifinals,Doha,Qatar,Chile,Qatar,0,3,21,22,25,-,-,25,25,27,-,-,3,7/25 (28%),18/27 (67%),18,14,2,2,-,14,8,9,31,2,4,3,9,2,6,17,25,8,0,13,21,9,6,15,5,1,25,31
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Chile,Ukraine,0,3,21,19,18,-,-,25,25,25,-,-,ALL,17/58 (29%),41/75 (55%),49,41,5,3,-,41,17,27,85,5,14,10,29,3,16,40,59,13,4,53,70,22,9,36,21,2,64,87
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Chile,Ukraine,0,3,21,19,18,-,-,25,25,25,-,-,1,7/21 (33%),14/25 (56%),18,14,3,1,-,14,5,8,27,3,3,1,7,1,5,15,21,4,2,17,23,7,3,11,5,0,21,26
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Chile,Ukraine,0,3,21,19,18,-,-,25,25,25,-,-,2,5/19 (26%),14/25 (56%),15,13,2,0,-,13,4,10,27,2,5,5,12,0,6,14,20,4,1,19,24,5,4,13,9,0,19,28
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Chile,Ukraine,0,3,21,19,18,-,-,25,25,25,-,-,3,5/18 (28%),13/25 (52%),16,14,0,2,-,14,8,9,31,0,6,4,10,2,5,11,18,5,1,17,23,10,2,12,7,2,24,33
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Ukraine,Chile,3,0,25,25,25,-,-,21,19,18,-,-,ALL,34/75 (45%),41/58 (71%),50,36,10,4,-,36,8,25,69,10,15,14,39,4,5,66,75,8,3,31,42,27,15,43,16,1,49,66
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Ukraine,Chile,3,0,25,25,25,-,-,21,19,18,-,-,1,11/25 (44%),14/21 (67%),17,13,2,2,-,13,4,6,23,2,7,2,11,2,2,21,25,4,1,11,16,8,3,12,4,0,18,22
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Ukraine,Chile,3,0,25,25,25,-,-,21,19,18,-,-,2,11/25 (44%),14/19 (74%),17,14,2,1,-,14,4,9,27,2,4,6,12,1,1,23,25,2,0,11,13,11,5,16,8,1,16,25
2023,Men,7,2023/7/30,Final_3rd-4th,Doha,Qatar,Ukraine,Chile,3,0,25,25,25,-,-,21,19,18,-,-,3,12/25 (48%),13/18 (72%),16,9,6,1,-,9,0,10,19,6,4,6,16,1,2,22,25,2,2,9,13,8,7,15,4,0,15,19
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,ALL,23/91 (25%),67/104 (64%),61,52,9,0,-,52,28,46,126,9,17,12,38,0,14,76,90,16,8,64,88,43,21,72,29,0,96,125
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,1,2/14 (14%),11/22 (50%),9,8,1,0,-,8,9,7,24,1,4,2,7,0,2,12,14,5,2,13,20,6,3,10,5,0,17,22
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,2,9/24 (38%),16/22 (73%),18,13,5,0,-,13,4,14,31,5,5,5,15,0,4,20,24,1,1,15,17,10,4,15,6,0,25,31
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,3,3/19 (16%),15/24 (63%),12,10,2,0,-,10,8,8,26,2,5,3,10,0,3,16,19,5,2,13,20,9,4,15,10,0,17,27
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,4,8/24 (33%),17/23 (74%),16,15,1,0,-,15,4,14,33,1,1,2,4,0,4,20,24,4,0,15,19,14,7,24,6,0,27,33
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Qatar,Türkiye,2,3,13,25,18,25,9,25,21,25,22,15,5,1/10 (10%),8/13 (62%),6,6,0,0,-,6,3,3,12,0,2,0,2,0,1,8,9,1,3,8,12,4,3,8,2,0,10,12
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,ALL,37/104 (36%),68/91 (75%),79,57,14,8,-,57,16,46,119,14,22,16,52,8,20,80,108,22,0,54,76,43,14,62,33,2,81,116
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,1,11/22 (50%),12/14 (86%),19,12,5,2,-,12,1,6,19,5,2,1,8,2,4,18,24,7,0,5,12,7,2,11,7,0,12,19
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,2,6/22 (27%),15/24 (63%),13,11,1,1,-,11,6,13,30,1,6,6,13,1,5,16,22,6,0,14,20,10,3,13,8,1,20,29
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,3,9/24 (38%),16/19 (84%),12,4,10,26,309.44,4,2,2,8,2,4,18,24,2,0,14,16,9,5,15,300,5,0,20,16,14,2,0
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,4,6/23 (26%),16/24 (67%),16,14,2,0,-,14,5,12,31,2,9,7,18,0,4,19,23,5,0,15,20,12,2,16,11,1,18,30
2023,Men,8,2023/7/30,Final_1st-2nd,Doha,Qatar,Türkiye,Qatar,3,2,25,21,25,22,15,13,25,18,25,9,5,5/13 (38%),9/10 (90%),13,8,2,3,-,8,0,5,13,2,3,0,5,3,3,9,15,2,0,6,8,5,2,7,2,0,11,13
